State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1956,1342,180,180,2015
AL,3970,2868,360,474,2015
AR,2560,1833,240,456,2015
AS,NA,NA,NA,NA,2015
AZ,9896,6548,1002,1220,2015
CA,115738,93156,7195,11311,2015
CO,9953,5729,1242,950,2015
CT,4047,2719,456,282,2015
DC,7298,3821,1131,408,2015
DE,953,602,115,79,2015
FL,35900,26325,3053,3926,2015
GA,13790,9702,1236,1548,2015
GU,1280,306,180,23,2015
HI,7620,4307,798,692,2015
IA,3081,1501,496,207,2015
ID,1966,1172,251,249,2015
IL,13177,8152,1648,1226,2015
IN,5863,3914,636,790,2015
KS,2588,1466,346,311,2015
KY,4538,3151,467,591,2015
LA,4081,3217,285,392,2015
MA,21135,6378,4903,1133,2015
MD,8390,5383,970,714,2015
ME,2372,1219,358,151,2015
MI,10516,6546,1285,1067,2015
MN,7546,3622,1192,297,2015
MO,6482,3434,926,540,2015
MP,NA,NA,NA,NA,2015
MS,1983,1475,152,206,2015
MT,1709,1127,182,277,2015
NC,10685,7156,1110,1092,2015
ND,1305,864,123,137,2015
NE,2744,1720,327,247,2015
NH,1445,778,244,138,2015
NJ,10098,6189,1346,696,2015
NM,2629,1666,296,278,2015
NV,8743,7858,279,860,2015
NY,88250,36135,15361,2399,2015
OH,11182,7565,1108,1183,2015
OK,3777,2781,343,351,2015
OR,13226,9461,1179,1464,2015
PA,15421,8605,2299,1375,2015
PR,4518,3929,170,164,2015
RI,1111,706,112,107,2015
SC,5354,3934,510,681,2015
SD,1036,630,125,177,2015
TN,9123,6516,869,945,2015
TX,23678,16265,2316,2393,2015
UT,3025,1809,364,337,2015
VA,7001,4190,890,604,2015
VI,337,308,10,34,2015
VT,1523,910,201,119,2015
WA,19419,12526,2154,1293,2015
WI,6057,2992,954,534,2015
WV,1835,1414,129,305,2015
WY,798,500,93,112,2015
