State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1784,1209,193,178,2014
AL,4561,3115,457,542,2014
AR,2936,2303,240,361,2014
AS,NA,NA,NA,NA,2014
AZ,10495,6194,1295,858,2014
CA,113952,90765,6956,12096,2014
CO,10028,5573,1317,753,2014
CT,4450,3069,495,295,2014
DC,7748,3953,1231,406,2014
DE,901,584,104,93,2014
FL,41542,28730,4550,4552,2014
GA,16521,12403,1291,1443,2014
GU,1356,332,180,36,2014
HI,6918,3750,790,593,2014
IA,3122,1544,487,202,2014
ID,2104,1234,264,215,2014
IL,13107,7350,1880,1234,2014
IN,5971,3953,654,725,2014
KS,2783,1533,395,393,2014
KY,5089,3352,564,600,2014
LA,4606,3444,376,437,2014
MA,21237,6788,4781,1264,2014
MD,7856,4980,948,654,2014
ME,2726,1348,388,152,2014
MI,12227,7535,1521,1122,2014
MN,8377,3652,1422,317,2014
MO,7282,4307,902,652,2014
MP,NA,NA,NA,NA,2014
MS,2226,1714,179,279,2014
MT,1745,1167,166,256,2014
NC,11491,7498,1303,1164,2014
ND,1258,886,120,151,2014
NE,3026,1893,347,241,2014
NH,1376,795,213,171,2014
NJ,11671,6446,1716,630,2014
NM,2746,1804,306,318,2014
NV,8582,7356,397,1036,2014
NY,80590,32643,14338,2542,2014
OH,11823,7704,1314,1236,2014
OK,4191,2964,400,408,2014
OR,12164,7988,1275,1292,2014
PA,15333,8359,2384,1411,2014
PR,4132,3432,208,87,2014
RI,1190,779,132,108,2014
SC,5057,3813,445,703,2014
SD,885,490,121,132,2014
TN,9415,6800,804,1142,2014
TX,28495,19177,2784,2718,2014
UT,3081,1729,398,317,2014
VA,7020,4234,883,620,2014
VI,448,425,9,32,2014
VT,1559,823,239,120,2014
WA,18442,11390,2182,1433,2014
WI,6055,2929,1007,520,2014
WV,2013,1488,173,333,2014
WY,757,463,89,116,2014
