State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1946,1362,196,210,2013
AL,4689,3387,495,511,2013
AR,3812,3174,218,462,2013
AS,NA,NA,NA,NA,2013
AZ,10562,6510,1291,1222,2013
CA,118552,93458,8267,12895,2013
CO,9754,4664,1444,685,2013
CT,4448,3101,475,341,2013
DC,6865,3696,983,499,2013
DE,946,575,119,89,2013
FL,47862,31359,5806,5505,2013
GA,16971,12880,1257,1805,2013
GU,1271,296,167,32,2013
HI,6335,3355,736,558,2013
IA,3084,1524,495,229,2013
ID,1781,1084,211,208,2013
IL,13425,7958,1730,1267,2013
IN,6096,3751,739,743,2013
KS,2693,1480,387,414,2013
KY,5245,3302,672,607,2013
LA,5226,3908,415,575,2013
MA,19029,6694,4327,1253,2013
MD,8205,5221,997,673,2013
ME,3016,1563,494,164,2013
MI,11527,7236,1412,1100,2013
MN,8214,3728,1338,349,2013
MO,8581,4652,1259,843,2013
MP,NA,NA,NA,NA,2013
MS,2403,1753,192,210,2013
MT,1878,1211,207,309,2013
NC,12168,7530,1520,1123,2013
ND,2069,1230,244,241,2013
NE,3145,1892,397,183,2013
NH,1447,798,229,125,2013
NJ,12002,6093,1994,540,2013
NM,2819,1786,323,243,2013
NV,7039,6200,316,790,2013
NY,77430,31235,13675,4659,2013
OH,12325,7611,1501,1212,2013
OK,4408,3179,426,437,2013
OR,13822,8994,1524,1494,2013
PA,15086,7973,2409,1462,2013
PR,4128,3470,185,82,2013
RI,1384,862,177,97,2013
SC,6544,4736,640,636,2013
SD,1094,557,154,125,2013
TN,9528,6909,880,991,2013
TX,29615,20758,2826,3878,2013
UT,3277,1959,406,327,2013
VA,7625,4532,984,719,2013
VI,482,444,11,33,2013
VT,1454,701,262,128,2013
WA,17760,10617,2217,1318,2013
WI,6104,3005,1016,552,2013
WV,2240,1544,228,329,2013
WY,953,677,84,137,2013
