State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1949,1445,160,94,2020
AL,3351,2497,267,329,2020
AR,2366,2073,101,188,2020
AS,NA,NA,NA,NA,2020
AZ,10979,8280,809,921,2020
CA,161548,135771,8030,11401,2020
CO,9846,7579,665,1044,2020
CT,2905,1973,306,199,2020
DC,6380,3949,767,302,2020
DE,1165,737,136,78,2020
FL,27487,20344,2294,2436,2020
GA,10234,7696,864,764,2020
GU,790,276,92,21,2020
HI,6458,4568,499,485,2020
IA,2647,1852,245,154,2020
ID,2315,1320,276,178,2020
IL,10431,6995,1063,736,2020
IN,5625,4117,482,530,2020
KS,2449,1751,223,203,2020
KY,4011,3116,277,399,2020
LA,3173,2591,182,378,2020
MA,17975,6233,3714,836,2020
MD,6360,4430,616,464,2020
ME,2097,1289,260,103,2020
MI,8638,5267,1026,639,2020
MN,7940,4726,967,315,2020
MO,6527,4416,704,453,2020
MP,1207,323,174,9,2020
MS,1107,853,76,68,2020
MT,1545,996,167,165,2020
NC,9280,6756,809,798,2020
ND,541,371,54,49,2020
NE,2404,1722,202,153,2020
NH,1675,1023,219,116,2020
NJ,9662,6413,1081,595,2020
NM,3333,2555,294,252,2020
NV,6900,6381,159,924,2020
NY,91271,43283,15151,1251,2020
OH,10655,7636,906,730,2020
OK,3932,3162,255,325,2020
OR,14655,11995,825,1329,2020
PA,13375,8585,1550,977,2020
PR,2451,2251,62,88,2020
RI,1104,723,121,92,2020
SC,4287,3432,279,428,2020
SD,1058,743,93,43,2020
TN,7256,5673,508,570,2020
TX,27229,21115,1912,1948,2020
UT,3131,2150,290,114,2020
VA,5957,3959,621,395,2020
VI,304,304,0,13,2020
VT,1110,738,124,71,2020
WA,22923,16198,2116,1607,2020
WI,4515,2677,558,337,2020
WV,1341,1156,58,104,2020
WY,612,427,50,51,2020
