State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1845,1354,165,124,2017
AL,3793,2985,262,269,2017
AR,2467,2068,121,239,2017
AS,NA,NA,NA,NA,2017
AZ,8947,6488,689,970,2017
CA,131532,110260,7083,11436,2017
CO,10940,7571,993,1078,2017
CT,3388,2208,392,191,2017
DC,7473,3583,1166,285,2017
DE,994,615,129,91,2017
FL,32190,22768,2846,2817,2017
GA,10174,7422,1019,712,2017
GU,852,215,117,24,2017
HI,7220,4535,666,615,2017
IA,2756,1500,382,171,2017
ID,2037,1309,211,228,2017
IL,10798,6894,1228,864,2017
IN,5438,3623,576,615,2017
KS,2287,1423,263,217,2017
KY,4025,3032,334,489,2017
LA,3305,2559,231,383,2017
MA,17565,6267,3430,853,2017
MD,7247,5077,681,536,2017
ME,2280,1352,307,131,2017
MI,9051,5628,1060,773,2017
MN,7668,3899,1140,281,2017
MO,6037,3768,749,538,2017
MP,672,208,131,0,2017
MS,1472,1100,111,57,2017
MT,1529,987,169,205,2017
NC,8962,6044,911,931,2017
ND,1089,832,77,74,2017
NE,2501,1698,266,174,2017
NH,1456,776,238,124,2017
NJ,8536,5433,1018,583,2017
NM,2482,1865,191,248,2017
NV,7833,7281,186,832,2017
NY,89503,37390,16297,1244,2017
OH,10095,6688,1025,862,2017
OK,4199,2824,480,349,2017
OR,13953,10434,1083,1251,2017
PA,14138,8271,1946,963,2017
PR,3525,3141,118,94,2017
RI,1180,802,106,95,2017
SC,3916,2896,325,480,2017
SD,943,611,124,130,2017
TN,8309,6137,655,757,2017
TX,23548,16708,2168,2200,2017
UT,2852,1882,281,220,2017
VA,6067,4028,631,478,2017
VI,381,369,3,23,2017
VT,1225,697,179,94,2017
WA,21112,14781,1993,2093,2017
WI,5027,2645,743,329,2017
WV,1309,1032,95,137,2017
WY,873,622,96,63,2017
