State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1642,1062,190,203,2007
AL,5452,4184,466,974,2007
AR,3836,2987,324,287,2007
AS,NA,NA,NA,NA,2007
AZ,14646,10020,1459,869,2007
CA,138986,110952,8733,16701,2007
CO,14225,6844,2704,1541,2007
CT,4482,3173,442,436,2007
DC,5320,3717,507,524,2007
DE,1061,716,119,204,2007
FL,48069,33040,5618,5841,2007
GA,19639,12521,2177,2243,2007
GU,725,254,120,0,2007
HI,6070,3335,734,223,2007
IA,2734,1504,427,162,2007
ID,1749,1102,210,102,2007
IL,15487,8653,2273,1330,2007
IN,7358,4734,863,516,2007
KS,2111,1208,281,296,2007
KY,8061,3890,1367,482,2007
LA,5494,2973,832,408,2007
MA,15127,8292,2468,1252,2007
MD,9628,5052,1415,572,2007
ME,2638,1136,502,119,2007
MI,28295,17553,3056,876,2007
MN,7323,3269,2411,551,2007
MO,6247,3336,972,416,2007
MP,NA,NA,NA,NA,2007
MS,1377,1115,76,161,2007
MT,1150,633,166,143,2007
NC,11802,8391,1199,992,2007
ND,636,403,70,67,2007
NE,3531,2172,515,165,2007
NH,2248,1255,380,111,2007
NJ,17314,8972,3201,618,2007
NM,3015,1861,367,163,2007
NV,8642,6477,700,1623,2007
NY,62601,28056,11245,4742,2007
OH,11264,6870,1622,1062,2007
OK,4221,2982,433,381,2007
OR,17590,9871,2463,705,2007
PA,16220,8229,2651,1805,2007
PR,4309,3914,116,104,2007
RI,1372,643,214,62,2007
SC,5660,3771,458,435,2007
SD,579,268,108,108,2007
TN,11210,8462,955,1028,2007
TX,39788,26306,3839,5527,2007
UT,3011,1945,395,227,2007
VA,9746,5523,1410,848,2007
VI,559,537,10,5,2007
VT,1035,599,154,64,2007
WA,23379,13289,3722,1421,2007
WI,5648,2403,1108,466,2007
WV,2409,1915,197,787,2007
WY,537,331,91,40,2007
