State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1646,1067,172,218,2008
AL,5387,4086,483,801,2008
AR,3255,2625,285,235,2008
AS,NA,NA,NA,NA,2008
AZ,12488,8428,1277,736,2008
CA,136531,109050,8924,17276,2008
CO,14747,6260,2457,1608,2008
CT,4627,2773,623,524,2008
DC,6044,4208,587,667,2008
DE,933,652,85,127,2008
FL,50158,32959,6296,5780,2008
GA,19095,13728,1722,3336,2008
GU,725,254,120,3,2008
HI,6061,3326,734,223,2008
IA,3346,1609,558,284,2008
ID,1464,817,228,131,2008
IL,14724,8356,2074,1286,2008
IN,7395,4937,815,535,2008
KS,1738,1080,208,313,2008
KY,8137,4344,1163,1046,2008
LA,5481,2894,851,432,2008
MA,14506,7127,2644,1302,2008
MD,9219,4806,1417,541,2008
ME,2632,1241,491,89,2008
MI,28248,17364,3006,832,2008
MN,7644,3388,1353,595,2008
MO,7687,4195,1127,377,2008
MP,NA,NA,NA,NA,2008
MS,1961,1697,77,197,2008
MT,1417,968,154,247,2008
NC,12411,8749,1231,1096,2008
ND,615,375,72,78,2008
NE,3985,2244,612,144,2008
NH,2019,1172,250,208,2008
NJ,13832,6848,2359,847,2008
NM,3015,1861,367,163,2008
NV,8726,6512,709,1632,2008
NY,61125,25771,11132,4234,2008
OH,12912,7865,1649,1033,2008
OK,3846,2674,377,354,2008
OR,20653,11548,2944,767,2008
PA,15378,7734,2526,1101,2008
PR,3012,2668,91,157,2008
RI,1196,714,181,99,2008
SC,5660,3809,455,475,2008
SD,579,268,108,108,2008
TN,9705,7242,883,903,2008
TX,40190,27950,3558,5982,2008
UT,3434,2018,456,218,2008
VA,8469,4838,1166,898,2008
VI,602,566,18,19,2008
VT,954,627,120,32,2008
WA,21954,12156,3123,1330,2008
WI,5449,2285,1090,481,2008
WV,2016,1435,199,104,2008
WY,751,357,143,19,2008
