State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1992,1239,237,259,2009
AL,6080,4686,509,1063,2009
AR,2852,2181,234,249,2009
AS,NA,NA,NA,NA,2009
AZ,14721,9959,1406,2343,2009
CA,123678,97534,8613,17973,2009
CO,15268,7401,2224,1471,2009
CT,4605,2773,624,462,2009
DC,6228,3934,703,642,2009
DE,1130,776,117,100,2009
FL,55599,34432,7751,7135,2009
GA,20360,14365,1895,2760,2009
GU,1088,391,168,22,2009
HI,5782,2941,784,499,2009
IA,3380,1655,532,270,2009
ID,1939,1117,280,270,2009
IL,14055,7475,2093,1028,2009
IN,6984,4151,975,740,2009
KS,1892,1238,205,638,2009
KY,5999,3302,858,675,2009
LA,12504,10098,764,1985,2009
MA,15482,7057,3035,1890,2009
MD,11698,6641,1675,932,2009
ME,2444,1124,445,123,2009
MI,14005,7857,2012,1054,2009
MN,7718,3393,1362,525,2009
MO,6959,3823,1031,699,2009
MP,NA,NA,NA,NA,2009
MS,2797,1843,301,358,2009
MT,1196,752,133,206,2009
NC,12918,9159,1184,1118,2009
ND,773,548,72,168,2009
NE,3718,2072,530,298,2009
NH,1645,891,259,167,2009
NJ,13169,5962,2498,618,2009
NM,3475,2343,304,408,2009
NV,11089,9394,438,1936,2009
NY,61067,24557,11402,5879,2009
OH,12700,7774,1648,1390,2009
OK,4838,3227,545,475,2009
OR,17309,10443,2233,1277,2009
PA,15096,7384,2497,1440,2009
PR,4070,3730,109,97,2009
RI,1607,1139,202,120,2009
SC,4473,3194,474,629,2009
SD,731,445,87,160,2009
TN,10532,8048,967,1142,2009
TX,36761,22564,5282,5491,2009
UT,3795,2242,537,166,2009
VA,8852,5066,1247,960,2009
VI,471,430,18,32,2009
VT,1214,693,193,61,2009
WA,22782,12086,3465,1963,2009
WI,6525,3161,1108,608,2009
WV,1667,1101,177,271,2009
WY,515,340,72,117,2009
