"","year","state","overall","emergency_shelter","transitional_housing","unsheltered","pop"
"602","2009","SD",731,371,296,64,816193
"603","2009","TN",10532,4468,2665,3399,6355518
"604","2009","TX",36761,12672,8986,15103,25241897
"605","2009","UT",3795,2080,1460,255,2775413
"606","2009","VA",8852,4095,3189,1568,8024004
"607","2009","VT",1214,595,462,157,625886
"608","2009","WA",22782,6714,9523,6545,6743009
"609","2009","WI",6525,2789,2676,1060,5690538
"610","2009","WV",1667,793,485,389,1854265
"611","2009","WY",515,185,266,64,564531
"612","2009","Total",630227,221474,181834,226919,309327143
"613","2008","AK",1646,847,605,194,713982
"614","2008","AL",5387,1534,2309,1544,4785514
"615","2008","AR",3255,1048,972,1235,2921998
"616","2008","AZ",12488,3104,3866,5518,6407342
"617","2008","CA",136531,22917,24048,89566,37319550
"618","2008","CO",14747,3492,3385,7870,5047539
"619","2008","CT",4627,2409,1611,607,3579173
"620","2008","DE",933,446,416,71,899647
"621","2008","FL",50158,9769,10955,29434,18846143
"622","2008","GA",19095,4420,4445,10230,9712209
"623","2008","HI",6061,1114,1589,3358,1364004
"624","2008","IA",3346,1018,2069,259,3050819
"625","2008","ID",1464,630,620,214,1570819
"626","2008","IL",14724,5660,5820,3244,12840545
"627","2008","IN",7395,3127,2796,1472,6490555
"628","2008","KS",1738,922,578,238,2858266
"629","2008","KY",8137,2725,3470,1942,4348464
"630","2008","LA",5481,1408,2292,1781,4544635
"631","2008","MA",14506,8471,4966,1069,6566440
"632","2008","MD",9219,3187,2867,3165,5788784
"633","2008","ME",2632,758,1830,44,1327651
"634","2008","MI",28248,7463,4318,16467,9877597
"635","2008","MN",7644,3101,3169,1374,5310934
"636","2008","MO",7687,3157,2450,2080,5996089
"637","2008","MS",1961,416,790,755,2970615
"638","2008","MT",1417,578,429,410,990730
"639","2008","NC",12411,4863,3162,4386,9574586
"640","2008","ND",615,394,202,19,674752
"641","2008","NE",3985,1444,1783,758,1829591
"642","2008","NH",2019,896,639,484,1316807
"643","2008","NJ",13832,7392,4468,1972,8799451
"644","2008","NM",3015,958,790,1267,2064614
"645","2008","NV",8726,1525,3338,3863,2702483
"646","2008","NY",61125,44619,11897,4609,19399956
"647","2008","OH",12912,6113,4264,2535,11539449
"648","2008","OK",3846,1933,870,1043,3760014
"649","2008","OR",20653,4667,5279,10707,3837614
"650","2008","PA",15378,6336,7743,1299,12711406
"651","2008","RI",1196,734,408,54,1053994
"652","2008","SC",5660,1680,1406,2574,4635846
"653","2008","SD",579,269,269,41,816193
"654","2008","TN",9705,2975,2685,4045,6355518
"655","2008","TX",40190,14876,9204,16110,25241897
"656","2008","UT",3434,1730,1448,256,2775413
"657","2008","VA",8469,3914,2981,1574,8024004
"658","2008","VT",954,311,385,258,625886
"659","2008","WA",21954,6319,9137,6498,6743009
"660","2008","WI",5449,2406,2528,515,5690538
"661","2008","WV",2016,952,470,594,1854265
"662","2008","WY",751,395,224,132,564531
"663","2008","Total",639784,215276,171085,253423,309327143
"664","2007","AK",1642,898,489,255,713982
"665","2007","AL",5452,1452,2344,1656,4785514
"666","2007","AR",3836,1251,1034,1551,2921998
"667","2007","AZ",14646,3934,4684,6028,6407342
"668","2007","CA",138986,23920,24591,90475,37319550
"669","2007","CO",14225,3630,3341,7254,5047539
"670","2007","CT",4482,2262,1409,811,3579173
"671","2007","DE",1061,439,415,207,899647
"672","2007","FL",48069,8988,11541,27540,18846143
"673","2007","GA",19639,4267,4074,11298,9712209
"674","2007","HI",6070,1039,1673,3358,1364004
"675","2007","IA",2734,852,1589,293,3050819
"676","2007","ID",1749,586,539,624,1570819
"677","2007","IL",15487,5913,6258,3316,12840545
"678","2007","IN",7358,2871,3225,1262,6490555
"679","2007","KS",2111,1172,657,282,2858266
"680","2007","KY",8061,2666,3274,2121,4348464
"681","2007","LA",5494,1388,2529,1577,4544635
"682","2007","MA",15127,7311,6402,1414,6566440
"683","2007","MD",9628,3564,2854,3210,5788784
"684","2007","ME",2638,664,1912,62,1327651
"685","2007","MI",28295,7325,4227,16743,9877597
"686","2007","MN",7323,2899,2979,1445,5310934
"687","2007","MO",6247,2969,2168,1110,5996089
"688","2007","MS",1377,303,548,526,2970615
"689","2007","MT",1150,502,353,295,990730
"690","2007","NC",11802,4745,3134,3923,9574586
"691","2007","ND",636,405,172,59,674752
"692","2007","NE",3531,1798,1209,524,1829591
"693","2007","NH",2248,725,548,975,1316807
"694","2007","NJ",17314,10095,4741,2478,8799451
"695","2007","NM",3015,958,790,1267,2064614
"696","2007","NV",8642,1528,3290,3824,2702483
"697","2007","NY",62601,44686,12595,5320,19399956
"698","2007","OH",11264,5695,3685,1884,11539449
"699","2007","OK",4221,2154,935,1132,3760014
"700","2007","OR",17590,3462,4867,9261,3837614
"701","2007","PA",16220,6445,8296,1479,12711406
"702","2007","RI",1372,688,635,49,1053994
"703","2007","SC",5660,1680,1406,2574,4635846
"704","2007","SD",579,269,269,41,816193
"705","2007","TN",11210,3587,2859,4764,6355518
"706","2007","TX",39788,13840,9042,16906,25241897
"707","2007","UT",3011,1551,1147,313,2775413
"708","2007","VA",9746,4323,3244,2179,8024004
"709","2007","VT",1035,340,380,315,625886
"710","2007","WA",23379,6450,10407,6522,6743009
"711","2007","WI",5648,2366,2719,563,5690538
"712","2007","WV",2409,1677,470,262,1854265
"713","2007","WY",537,272,125,140,564531
"714","2007","Total",647258,216659,174742,255857,309327143
